Variety, Wines, Beverages,Fruits/Vegetables,Breads/Crackers,Condiments/Nuts,Meats/Fish
Blue Cheese,Dessert, Apple juice, Apples, Crusty bread, Black olives, Beef
Blue Cheese, Red, Coffee, Carrots, Nut bread, Honey , Fish 
Blue Cheese, Sparkling, Gin  , Celery, Whole grain crackers,Pecans, Ham 
Blue Cheese,,Lambic  , Dried  cranberries,,,Poultry
Blue Cheese,,Pear nectar, Cucumbers,,,Shellfish
Blue Cheese,, Stout, Pears,,,
Blue Cheese,,,,,,
Creamy Blue , Dessert, Apple juice, Apricots (fresh or dried) , Fruit bread, Almonds, Beef
Creamy Blue , Red,Coffee,Celery, Whole grain crackers, Black olives, Fish 
Creamy Blue , Sparkling, Gin  , Cucumbers, Water crackers, Dates, Ham 
Creamy Blue ,,Lambic  , Figs,,,Poultry
Creamy Blue ,,Pear nectar, Pears,,,Shellfish
Creamy Blue ,, Stout,,,,
Gorgonzola, Dessert, Apple juice, Apples, Crusty bread, Black olives, Beef
Gorgonzola, Red,Coffee, Bell peppers, Nut bread, Raisins, Fish 
Gorgonzola, Sparkling, Gin  , Carrots, Pumpernickel, Walnuts, Ham 
Gorgonzola,,Lambic  , Citrus fruits  ,,,Poultry
Gorgonzola,,Pear nectar,Dried cranberries,,,Shellfish
Gorgonzola,, Stout, Tomatoes,,,
Roquefort, Dessert, Apple juice, Apricots (fresh or dried), Crusty bread, Black olives,Beef
Roquefort, Red,Coffee, Apples, Whole grain crackers, Dates, Fish 
Roquefort, Sparkling, Gin  , Avocados, Water crackers, Roasted red peppers, Ham 
Roquefort,,Lambic  , Celery,,,Poultry
Roquefort,,Pear nectar, Cucumbers,, ,Shellfish
Roquefort,, Stout, Grapes,,,
Stilton, Dessert, Apple juice, Bell peppers,,,
Stilton, Red, Coffee, Carrots, Nut bread, Honey , Beef
Stilton, Sparkling, Gin  , Celery, Pumpernickel, Roasted red peppers, Fish 
Stilton,,Lambic  , Dried  cranberries, Wheat crackers,Pecans, Ham 
Stilton,,Pear nectar, Figs,,,Shellfish
Stilton,, Stout, Pears,,,Poultry
Stilton,,,,,,